from,to
76561198061266696,76561198127639789
76561198061266696,76561198127728468
76561198061266696,76561198127783595
76561198061266696,76561198127859273
76561198061266696,76561198128345560
76561198061266696,76561198128365159
76561198061266696,76561198128719627
76561198061266696,76561198128782089
76561198061266696,76561198128841641
76561198061266696,76561198129359280
76561198061266696,76561198129617520
76561198061266696,76561198129635004
76561198061266696,76561198129717371
76561198061266696,76561198129934420
76561198061266696,76561198130158472
76561198061266696,76561198130261106
76561198061266696,76561198130301045
76561198061266696,76561198130370208
76561198061266696,76561198131013613
76561198061266696,76561198131240162
76561198061266696,76561198131466823
76561198061266696,76561198131639642
76561198061266696,76561198131685012
76561198061266696,76561198131782195
76561198061266696,76561198132222062
76561198061266696,76561198132392369
76561198061266696,76561198132434503
76561198061266696,76561198132746092
76561198061266696,76561198133038250
76561198061266696,76561198133101019
76561198061266696,76561198133869739
76561198061266696,76561198134074082
76561198061266696,76561198134184836
76561198061266696,76561198134662209
76561198061266696,76561198134978569
76561198061266696,76561198135108393
76561198061266696,76561198135607235
76561198061266696,76561198135656729
76561198061266696,76561198136097780
76561198061266696,76561198136395810
76561198061266696,76561198136524044
76561198061266696,76561198136573059
76561198061266696,76561198136594130
76561198061266696,76561198137128696
76561198061266696,76561198137203086
76561198061266696,76561198137316521
76561198061266696,76561198138413559
76561198061266696,76561198138545205
76561198061266696,76561198138907314
76561198061266696,76561198140045523
76561198061266696,76561198140116896
76561198061266696,76561198140552881
76561198061266696,76561198141093297
76561198061266696,76561198141274389
76561198061266696,76561198141922890
76561198061266696,76561198142231376
76561198061266696,76561198142531676
76561198061266696,76561198142780416
76561198061266696,76561198142908602
76561198061266696,76561198143567407
76561198061266696,76561198143718332
76561198061266696,76561198144021634
76561198061266696,76561198144108331
76561198061266696,76561198144620722
76561198061266696,76561198144713657
76561198061266696,76561198145019391
76561198061266696,76561198145775462
76561198061266696,76561198145940905
76561198061266696,76561198146192592
76561198061266696,76561198146206695
76561198061266696,76561198146225164
76561198061266696,76561198146308178
76561198061266696,76561198146315292
76561198061266696,76561198146595417
76561198061266696,76561198146880934
76561198061266696,76561198146883315
76561198061266696,76561198148410237
76561198061266696,76561198148499307
76561198061266696,76561198148527105
76561198061266696,76561198148531699
76561198061266696,76561198149054899
76561198061266696,76561198149108637
76561198061266696,76561198149127340
76561198061266696,76561198150082970
76561198061266696,76561198150405492
76561198061266696,76561198150575218
76561198061266696,76561198150575262
76561198061266696,76561198150812168
76561198061266696,76561198151186644
76561198061266696,76561198151462320
76561198061266696,76561198151617948
76561198061266696,76561198151621940
76561198061266696,76561198151708464
76561198061266696,76561198152636962
76561198061266696,76561198152720975
76561198061266696,76561198153265980
76561198061266696,76561198153283254
76561198061266696,76561198153846493
76561198061266696,76561198154002664
76561198061266696,76561198154078309
76561198061266696,76561198154545657
76561198061266696,76561198154617576
76561198061266696,76561198154738550
76561198061266696,76561198154871990
76561198061266696,76561198155367880
76561198061266696,76561198155409935
76561198061266696,76561198156377704
76561198061266696,76561198156596750
76561198061266696,76561198156714866
76561198061266696,76561198156809748
76561198061266696,76561198157005880
76561198061266696,76561198157190044
76561198061266696,76561198157618597
76561198061266696,76561198157836086
76561198061266696,76561198157874821
76561198061266696,76561198158081456
76561198061266696,76561198158422757
76561198061266696,76561198159054135
76561198061266696,76561198159205080
76561198061266696,76561198159225612
76561198061266696,76561198159266643
76561198061266696,76561198160026138
76561198061266696,76561198160141935
76561198061266696,76561198160336396
76561198061266696,76561198160621809
76561198061266696,76561198161070288
76561198061266696,76561198161949531
76561198061266696,76561198162139357
76561198061266696,76561198162362884
76561198061266696,76561198163361325
76561198061266696,76561198163374709
76561198061266696,76561198163415298
76561198061266696,76561198163785339
76561198061266696,76561198164127999
76561198061266696,76561198164278522
76561198061266696,76561198164597175
76561198061266696,76561198164724890
76561198061266696,76561198164774643
76561198061266696,76561198165122310
76561198061266696,76561198165135468
76561198061266696,76561198165371742
76561198061266696,76561198166112013
76561198061266696,76561198167138909
76561198061266696,76561198167315987
76561198061266696,76561198167415005
76561198061266696,76561198167435813
76561198061266696,76561198167554831
76561198061266696,76561198167579660
76561198061266696,76561198167668547
76561198061266696,76561198167946760
76561198061266696,76561198168326577
76561198061266696,76561198168440181
76561198061266696,76561198169173169
76561198061266696,76561198170426151
76561198061266696,76561198170865549
76561198061266696,76561198171153297
76561198061266696,76561198171449285
76561198061266696,76561198171646875
76561198061266696,76561198171818079
76561198061266696,76561198172098182
76561198061266696,76561198173606247
76561198061266696,76561198173990145
76561198061266696,76561198174378595
76561198061266696,76561198174654477
76561198061266696,76561198174695601
76561198061266696,76561198174890979
76561198061266696,76561198175228011
76561198061266696,76561198176171679
76561198061266696,76561198176680442
76561198061266696,76561198176917482
76561198061266696,76561198177347043
76561198061266696,76561198177513047
76561198061266696,76561198177937467
76561198061266696,76561198178254990
76561198061266696,76561198178461773
76561198061266696,76561198179079449
76561198061266696,76561198179999729
76561198061266696,76561198180041009
76561198061266696,76561198180665167
76561198061266696,76561198180794115
76561198061266696,76561198181743410
76561198061266696,76561198182556598
76561198061266696,76561198182741206
76561198061266696,76561198182824071
76561198061266696,76561198182909161
76561198061266696,76561198183866367
76561198061266696,76561198184061715
76561198061266696,76561198184688345
76561198061266696,76561198184724822
76561198061266696,76561198184849509
76561198061266696,76561198184974275
76561198061266696,76561198185092799
76561198061266696,76561198185310555
76561198061266696,76561198185438721
76561198061266696,76561198185968462
76561198061266696,76561198186900430
76561198061266696,76561198187123769
76561198061266696,76561198187398237
76561198061266696,76561198188870767
76561198061266696,76561198189118982
76561198061266696,76561198189239543
76561198061266696,76561198190180289
76561198061266696,76561198190245742
76561198061266696,76561198190515470
76561198061266696,76561198190621391
76561198061266696,76561198191048977
76561198061266696,76561198191737906
76561198061266696,76561198191966295
76561198061266696,76561198191985755
76561198061266696,76561198192462538
76561198061266696,76561198192760095
76561198061266696,76561198193099267
76561198061266696,76561198193148879
76561198061266696,76561198193752958
76561198061266696,76561198193863583
76561198061266696,76561198194171229
76561198061266696,76561198194285131
76561198061266696,76561198194435254
76561198061266696,76561198194607089
76561198061266696,76561198194762871
76561198061266696,76561198194852421
76561198061266696,76561198195159557
76561198061266696,76561198196325649
76561198061266696,76561198196468043
76561198061266696,76561198196576677
76561198061266696,76561198197539210
76561198061266696,76561198197680727
76561198061266696,76561198198382799
76561198061266696,76561198199440218
76561198061266696,76561198199778499
76561198061266696,76561198200222439
76561198061266696,76561198201007789
76561198061266696,76561198201489717
76561198061266696,76561198201649159
76561198061266696,76561198201671899
76561198061266696,76561198201899714
76561198061266696,76561198202003599
76561198061266696,76561198202508070
76561198061266696,76561198202659097
76561198061266696,76561198202995468
76561198061266696,76561198203043900
76561198061266696,76561198203144407
76561198061266696,76561198203243193
76561198061266696,76561198203328607
76561198061266696,76561198203471975
76561198061266696,76561198203499448
76561198061266696,76561198203884213
76561198061266696,76561198204159785
76561198061266696,76561198204262001
76561198061266696,76561198204816745
76561198061266696,76561198204996601
76561198061266696,76561198205471996
76561198061266696,76561198205680925
76561198061266696,76561198205729609
76561198061266696,76561198206129985
76561198061266696,76561198206368903
76561198061266696,76561198207114452
76561198061266696,76561198208561028
76561198061266696,76561198208668717
76561198061266696,76561198208696868
76561198061266696,76561198209811297
76561198061266696,76561198210161457
76561198061266696,76561198210993413
76561198061266696,76561198211036048
76561198061266696,76561198211832153
76561198061266696,76561198211925864
76561198061266696,76561198212187699
76561198061266696,76561198212809307
76561198061266696,76561198213167437
76561198061266696,76561198213534907
76561198061266696,76561198213767021
76561198061266696,76561198214576729
76561198061266696,76561198215994665
76561198061266696,76561198217615045
76561198061266696,76561198217668643
76561198061266696,76561198217723384
76561198061266696,76561198218695532
76561198061266696,76561198218890704
76561198061266696,76561198219365431
76561198061266696,76561198220432657
76561198061266696,76561198223664692
76561198061266696,76561198223789184
76561198061266696,76561198223819644
76561198061266696,76561198223898192
76561198061266696,76561198224116204
76561198061266696,76561198225552700
76561198061266696,76561198225943784
76561198061266696,76561198225981552
76561198061266696,76561198226003584
76561198061266696,76561198226582216
76561198061266696,76561198227102240
76561198061266696,76561198228200800
76561198061266696,76561198228922208
76561198061266696,76561198229560576
76561198061266696,76561198231636540
76561198061266696,76561198232612488
76561198061266696,76561198234578260
76561198061266696,76561198236274512
76561198061266696,76561198236454892
76561198061266696,76561198237127892
76561198061266696,76561198237438078
76561198061266696,76561198237472104
76561198061266696,76561198237658662
76561198061266696,76561198237914408
76561198061266696,76561198237968868
76561198061266696,76561198238653466
76561198061266696,76561198239232646
76561198061266696,76561198239457500
76561198061266696,76561198239683618
76561198061266696,76561198239933914
76561198061266696,76561198240165548
76561198061266696,76561198240482790
76561198061266696,76561198240937010
76561198061266696,76561198240991874
